Timestamp,Average High Price,Average Low Price,High Price Volume,Low Price Volume
2024-10-01 14:00:00,1335469,1319012,941,819
2024-10-01 20:00:00,1318396,1312674,633,970
2024-10-02 02:00:00,1327921,1310845,406,373
2024-10-02 08:00:00,1325034,1311091,530,646
2024-10-02 14:00:00,1327025,1312573,859,730
2024-10-02 20:00:00,1336978,1324637,702,781
2024-10-03 02:00:00,1353417,1343158,294,538
2024-10-03 08:00:00,1367980,1347755,664,832
2024-10-03 14:00:00,1374133,1355109,922,1123
2024-10-03 20:00:00,1370625,1353591,751,1062
2024-10-04 02:00:00,1381490,1360099,310,375
2024-10-04 08:00:00,1375955,1359190,651,581
2024-10-04 14:00:00,1368822,1349266,948,1289
2024-10-04 20:00:00,1362156,1344132,1064,964
2024-10-05 02:00:00,1374143,1359185,628,458
2024-10-05 08:00:00,1375846,1363415,674,736
2024-10-05 14:00:00,1372312,1360428,800,1048
2024-10-05 20:00:00,1366568,1358573,703,935
2024-10-06 02:00:00,1369399,1356980,463,403
2024-10-06 08:00:00,1364866,1350180,750,721
2024-10-06 14:00:00,1360585,1344939,998,1135
2024-10-06 20:00:00,1363279,1345476,924,968
2024-10-07 02:00:00,1356131,1342569,461,408
2024-10-07 08:00:00,1358280,1342807,734,633
2024-10-07 14:00:00,1350453,1334218,901,831
2024-10-07 20:00:00,1347639,1333116,715,739
2024-10-08 02:00:00,1350119,1336120,356,373
2024-10-08 08:00:00,1351592,1338627,618,622
2024-10-08 14:00:00,1356171,1342738,769,831
2024-10-08 20:00:00,1347240,1334685,589,720
2024-10-09 02:00:00,1355991,1339977,340,390
2024-10-09 08:00:00,1349066,1336641,659,548
2024-10-09 14:00:00,1348525,1336331,736,858
2024-10-09 20:00:00,1352378,1337015,941,857
2024-10-10 02:00:00,1353424,1342789,335,456
2024-10-10 08:00:00,1350970,1337254,693,758
2024-10-10 14:00:00,1348483,1335043,734,725
2024-10-10 20:00:00,1344419,1329104,741,819
2024-10-11 02:00:00,1355141,1338293,504,431
2024-10-11 08:00:00,1350609,1338388,491,682
2024-10-11 14:00:00,1350049,1338765,925,859
2024-10-11 20:00:00,1352071,1339752,928,1319
2024-10-12 02:00:00,1344084,1333051,440,497
2024-10-12 08:00:00,1346364,1330360,703,744
2024-10-12 14:00:00,1339148,1322745,935,826
2024-10-12 20:00:00,1341219,1325913,835,691
2024-10-13 02:00:00,1339933,1324608,474,504
2024-10-13 08:00:00,1340451,1324985,840,660
2024-10-13 14:00:00,1334606,1320311,998,987
2024-10-13 20:00:00,1331452,1314556,834,784
2024-10-14 02:00:00,1327588,1313151,405,550
2024-10-14 08:00:00,1329529,1314153,540,580
2024-10-14 14:00:00,1328015,1313943,854,890
2024-10-14 20:00:00,1321457,1309608,741,759
2024-10-15 02:00:00,1317943,1302784,403,320
2024-10-15 08:00:00,1315520,1301013,656,537
2024-10-15 14:00:00,1310916,1296287,770,764
2024-10-15 20:00:00,1301350,1289116,725,871
2024-10-16 02:00:00,1297318,1283195,257,335
2024-10-16 08:00:00,1299212,1279320,562,685
2024-10-16 14:00:00,1295348,1279670,763,989
2024-10-16 20:00:00,1290392,1276635,478,808
2024-10-17 02:00:00,1294383,1284425,333,435
2024-10-17 08:00:00,1296579,1282274,453,480
2024-10-17 14:00:00,1297292,1284233,787,704
2024-10-17 20:00:00,1292837,1282768,667,847
