Timestamp,Average High Price,Average Low Price,High Price Volume,Low Price Volume
2024-01-01 19:00:00,611,604,657574,701892
2024-01-02 19:00:00,612,599,667702,1058202
2024-01-03 19:00:00,608,594,642039,723665
2024-01-04 19:00:00,622,612,675778,790787
2024-01-05 19:00:00,614,601,745813,906823
2024-01-06 19:00:00,610,604,785360,747651
2024-01-07 19:00:00,612,602,652454,719140
2024-01-08 19:00:00,641,629,568972,725888
2024-01-09 19:00:00,644,631,554005,749975
2024-01-10 19:00:00,637,620,610889,861698
2024-01-11 19:00:00,618,628,618886,759089
2024-01-12 19:00:00,632,626,753984,928727
2024-01-13 19:00:00,650,642,626215,908406
2024-01-14 19:00:00,652,643,632605,769296
2024-01-15 19:00:00,661,651,709619,735456
2024-01-16 19:00:00,668,656,446287,668332
2024-01-17 19:00:00,666,658,607912,679169
2024-01-18 19:00:00,658,651,724386,827005
2024-01-19 19:00:00,662,651,589564,868879
2024-01-20 19:00:00,665,656,713804,924426
2024-01-21 19:00:00,684,673,773239,789788
2024-01-22 19:00:00,682,674,692171,757877
2024-01-23 19:00:00,682,671,502990,645305
2024-01-24 19:00:00,684,675,498715,632564
2024-01-25 19:00:00,691,676,114042,208202
2024-01-26 19:00:00,673,662,681793,889050
2024-01-27 19:00:00,669,660,813356,713085
2024-01-28 19:00:00,678,671,684520,767549
2024-01-29 19:00:00,670,663,620757,580573
2024-01-30 19:00:00,662,657,564031,714460
2024-01-31 19:00:00,672,664,407186,695496
2024-02-01 19:00:00,662,649,514958,665270
2024-02-02 19:00:00,653,644,558800,623430
2024-02-03 19:00:00,612,606,897586,810105
2024-02-04 19:00:00,611,600,596633,613204
2024-02-05 19:00:00,609,599,591822,868288
2024-02-06 19:00:00,607,600,391358,543768
2024-02-07 19:00:00,637,619,495053,878450
2024-02-08 19:00:00,599,588,582844,802082
2024-02-09 19:00:00,555,545,754501,952051
2024-02-10 19:00:00,585,575,651486,675848
2024-02-11 19:00:00,589,580,476338,839001
2024-02-12 19:00:00,616,605,487409,650134
2024-02-13 19:00:00,632,619,426890,617094
2024-02-14 19:00:00,631,613,463237,832150
2024-02-15 19:00:00,632,621,552599,735750
2024-02-16 19:00:00,608,601,855568,738549
2024-02-17 19:00:00,606,590,765192,631717
2024-02-18 19:00:00,595,587,853301,630471
2024-02-19 19:00:00,584,575,512050,677651
2024-02-20 19:00:00,576,565,634437,586579
2024-02-21 19:00:00,589,576,659254,663794
2024-02-22 19:00:00,579,571,649680,809410
2024-02-23 19:00:00,573,565,539556,911798
2024-02-24 19:00:00,563,555,794758,870068
2024-02-25 19:00:00,568,557,655671,795669
2024-02-26 19:00:00,568,556,464702,526286
2024-02-27 19:00:00,579,565,542660,654856
2024-02-28 19:00:00,568,563,482437,677862
2024-02-29 19:00:00,568,558,658564,790511
2024-03-01 19:00:00,568,562,759017,615890
2024-03-02 19:00:00,563,556,893134,987972
2024-03-03 19:00:00,563,559,681361,825025
2024-03-04 19:00:00,580,569,716551,726590
2024-03-05 19:00:00,577,566,602952,768041
2024-03-06 19:00:00,582,577,547234,656341
2024-03-07 19:00:00,591,579,608344,911256
2024-03-08 19:00:00,574,562,703522,775193
2024-03-09 19:00:00,572,566,626701,707470
2024-03-10 20:00:00,592,584,631547,885941
2024-03-11 20:00:00,598,588,448233,644576
2024-03-12 20:00:00,609,596,568419,900567
2024-03-13 20:00:00,596,590,697008,650809
2024-03-14 20:00:00,599,589,539613,771665
2024-03-15 20:00:00,580,573,685826,827641
2024-03-16 20:00:00,582,571,725694,986643
2024-03-17 20:00:00,589,581,579792,610895
2024-03-18 20:00:00,551,552,756646,820237
2024-03-19 20:00:00,517,505,609272,733266
2024-03-20 20:00:00,502,488,614430,561697
2024-03-21 20:00:00,489,476,541874,569790
2024-03-22 20:00:00,485,481,496136,610945
2024-03-23 20:00:00,477,468,639914,843689
2024-03-24 20:00:00,486,481,799863,757511
2024-03-25 20:00:00,506,499,563076,769192
2024-03-26 20:00:00,520,509,574852,860544
2024-03-27 20:00:00,540,529,681861,595371
2024-03-28 20:00:00,529,521,715140,712006
2024-03-29 20:00:00,519,511,619213,879277
2024-03-30 20:00:00,507,504,664060,808532
2024-03-31 20:00:00,502,493,829356,785676
2024-04-01 20:00:00,521,509,588797,932270
2024-04-02 20:00:00,532,521,525319,642106
2024-04-03 20:00:00,526,515,344334,477661
2024-04-04 20:00:00,513,506,424477,689721
2024-04-05 20:00:00,518,509,512795,666133
2024-04-06 20:00:00,509,504,876827,598692
2024-04-07 20:00:00,511,503,607957,630549
2024-04-08 20:00:00,511,504,541533,638512
2024-04-09 20:00:00,518,508,591021,667835
2024-04-10 20:00:00,525,517,636135,742886
2024-04-11 20:00:00,518,513,530075,872642
2024-04-12 20:00:00,525,521,694829,677643
2024-04-13 20:00:00,514,504,676394,806468
2024-04-14 20:00:00,519,507,611481,694369
2024-04-15 20:00:00,510,503,515132,794365
2024-04-16 20:00:00,492,483,530763,563133
2024-04-17 20:00:00,492,483,483180,654666
2024-04-18 20:00:00,485,477,632355,642869
2024-04-19 20:00:00,480,472,761474,672802
2024-04-20 20:00:00,484,477,702174,809599
2024-04-21 20:00:00,497,491,506232,849979
2024-04-22 20:00:00,501,494,514471,673590
2024-04-23 20:00:00,500,491,521338,918347
2024-04-24 20:00:00,492,485,753968,843977
2024-04-25 20:00:00,492,487,578040,659231
2024-04-26 20:00:00,447,451,462200,316832
2024-04-27 20:00:00,489,483,763205,843199
2024-04-28 20:00:00,502,495,519432,687925
2024-04-29 20:00:00,498,488,585218,843776
2024-04-30 20:00:00,490,481,508438,734400
2024-05-01 20:00:00,501,491,628435,706772
2024-05-02 20:00:00,505,497,810178,731932
2024-05-03 20:00:00,498,490,846221,715395
2024-05-04 20:00:00,500,493,774542,733791
2024-05-05 20:00:00,502,495,587115,624562
2024-05-06 20:00:00,510,496,681535,621236
2024-05-07 20:00:00,507,501,543659,608704
2024-05-08 20:00:00,510,501,590687,535105
2024-05-09 20:00:00,524,517,532018,609778
2024-05-10 20:00:00,533,517,557218,657758
2024-05-11 20:00:00,547,530,716219,707668
2024-05-12 20:00:00,569,559,677563,746084
2024-05-13 20:00:00,550,541,678234,870154
2024-05-14 20:00:00,528,515,490336,567631
2024-05-15 20:00:00,539,525,542061,715056
2024-05-16 20:00:00,543,537,552362,566367
2024-05-17 20:00:00,529,518,716783,840738
2024-05-18 20:00:00,514,507,614345,794911
2024-05-19 20:00:00,521,515,523009,797797
2024-05-20 20:00:00,535,525,604958,680459
2024-05-21 20:00:00,553,539,559750,894564
2024-05-22 20:00:00,539,528,602313,599071
2024-05-23 20:00:00,554,540,689727,787738
2024-05-24 20:00:00,555,542,551055,761956
2024-05-25 20:00:00,563,555,653153,791139
2024-05-26 20:00:00,570,552,716689,957871
2024-05-27 20:00:00,573,562,545317,694648
2024-05-28 20:00:00,551,547,798233,697659
2024-05-29 20:00:00,556,543,565827,704103
2024-05-30 20:00:00,555,545,400909,782573
2024-05-31 20:00:00,574,566,722231,650028
2024-06-01 20:00:00,588,579,563767,928851
2024-06-02 20:00:00,594,580,577196,701907
2024-06-03 20:00:00,582,570,445609,921691
2024-06-04 20:00:00,584,575,594397,529110
2024-06-05 20:00:00,585,582,683101,559694
2024-06-06 20:00:00,576,566,502618,650394
2024-06-07 20:00:00,560,550,698379,798561
2024-06-08 20:00:00,552,544,757456,710253
2024-06-09 20:00:00,560,552,714790,609211
2024-06-10 20:00:00,575,563,536688,638224
2024-06-11 20:00:00,582,565,404171,736072
2024-06-12 20:00:00,581,570,537999,749364
2024-06-13 20:00:00,572,562,578211,832795
2024-06-14 20:00:00,581,576,636967,704153
2024-06-15 20:00:00,580,571,615808,730250
2024-06-16 20:00:00,577,569,528612,733615
2024-06-17 20:00:00,584,570,662164,1043897
2024-06-18 20:00:00,611,595,455410,841666
2024-06-19 20:00:00,614,603,661477,978739
2024-06-20 20:00:00,615,606,582607,867420
2024-06-21 20:00:00,620,609,722307,770108
2024-06-22 20:00:00,618,606,672492,911522
2024-06-23 20:00:00,624,616,636231,873209
2024-06-24 20:00:00,624,615,527880,589149
2024-06-25 20:00:00,610,601,454645,458210
