Timestamp,Average High Price,Average Low Price,High Price Volume,Low Price Volume
1/1/2024 19:00,785,775,718111,1111971
1/2/2024 19:00,788,781,867422,955433
1/3/2024 19:00,792,781,756042,951850
1/4/2024 19:00,791,782,691730,934879
1/5/2024 19:00,789,781,754603,1152460
1/6/2024 19:00,784,774,1526275,1517488
1/7/2024 19:00,784,772,939732,1033655
1/8/2024 19:00,781,774,844482,1118853
1/9/2024 19:00,786,772,704387,1024295
1/10/2024 19:00,785,778,1038454,1027645
1/11/2024 19:00,782,774,762598,892297
1/12/2024 19:00,781,772,668326,1409159
1/13/2024 19:00,783,774,959862,1147930
1/14/2024 19:00,784,777,739250,1158017
1/15/2024 19:00,791,783,1122616,1056933
1/16/2024 19:00,800,786,802555,1342595
1/17/2024 19:00,801,793,818541,1152901
1/18/2024 19:00,800,795,994744,1087531
1/19/2024 19:00,802,794,1106359,1288080
1/20/2024 19:00,802,796,1219073,1210688
1/21/2024 19:00,806,796,1081381,1208821
1/22/2024 19:00,807,801,759575,1026631
1/23/2024 19:00,803,797,825048,846535
1/24/2024 19:00,796,786,717724,957841
1/25/2024 19:00,786,776,243099,282028
1/26/2024 19:00,785,774,1048725,1225477
1/27/2024 19:00,787,781,832986,1286063
1/28/2024 19:00,789,783,876373,969796
1/29/2024 19:00,788,781,672767,954692
1/30/2024 19:00,790,784,689374,864065
1/31/2024 19:00,790,781,668541,864278
2/1/2024 19:00,797,785,788621,814759
2/2/2024 19:00,794,784,1052564,1161201
2/3/2024 19:00,794,785,1135187,1312478
2/4/2024 19:00,790,784,726603,1174720
2/5/2024 19:00,795,784,690659,981354
2/6/2024 19:00,794,782,969707,1185063
2/7/2024 19:00,793,785,1062949,1040970
2/8/2024 19:00,786,766,1272299,1339877
2/9/2024 19:00,781,766,1279748,1402125
2/10/2024 19:00,783,773,1320514,1422771
2/11/2024 19:00,779,771,1101238,1012124
2/12/2024 19:00,786,774,1169088,1042993
2/13/2024 19:00,788,773,958432,1255214
2/14/2024 19:00,793,782,792855,1131226
2/15/2024 19:00,794,787,991506,1199782
2/16/2024 19:00,798,792,1419340,1174534
2/17/2024 19:00,808,796,1417580,1451210
2/18/2024 19:00,813,809,1381231,1278140
2/19/2024 19:00,834,823,929640,1265497
2/20/2024 19:00,839,826,1040469,1452022
2/21/2024 19:00,848,841,997910,1300633
2/22/2024 19:00,854,844,873504,1139722
2/23/2024 19:00,859,856,1518558,1362999
2/24/2024 19:00,845,825,1352291,1336642
2/25/2024 19:00,819,808,1164543,1124045
2/26/2024 19:00,851,846,1019709,1069732
2/27/2024 19:00,831,819,965637,1098942
2/28/2024 19:00,823,816,1352568,1202060
2/29/2024 19:00,816,805,1203260,1185915
3/1/2024 19:00,813,802,1351536,1543492
3/2/2024 19:00,814,808,1755943,1354949
3/3/2024 19:00,819,808,1066848,1303223
3/4/2024 19:00,826,816,1149079,1317427
3/5/2024 19:00,833,818,1060801,1244565
3/6/2024 19:00,824,817,957103,1216502
3/7/2024 19:00,818,804,1232471,1305248
3/8/2024 19:00,819,806,1504694,1420257
3/9/2024 19:00,829,819,1174815,1330590
3/10/2024 20:00,847,837,821654,1299216
3/11/2024 20:00,866,852,894320,1177166
3/12/2024 20:00,888,873,951186,957430
3/13/2024 20:00,870,855,1130815,1132633
3/14/2024 20:00,849,833,1033178,1467077
3/15/2024 20:00,852,838,1311200,1404570
3/16/2024 20:00,851,843,1183737,1543477
3/17/2024 20:00,849,841,939906,1157039
3/18/2024 20:00,838,828,1319150,1249060
3/19/2024 20:00,841,832,897532,1140987
3/20/2024 20:00,821,811,1010134,985628
3/21/2024 20:00,824,811,1209863,1415261
3/22/2024 20:00,827,814,986463,1233240
3/23/2024 20:00,848,836,1122399,1375619
3/24/2024 20:00,846,834,1251543,1177635
3/25/2024 20:00,853,841,1151303,1082834
3/26/2024 20:00,849,838,924787,1076382
3/27/2024 20:00,835,824,1189318,1009112
3/28/2024 20:00,840,829,1157294,1456561
3/29/2024 20:00,855,844,1236080,1857736
3/30/2024 20:00,872,857,1718634,1542978
3/31/2024 20:00,864,851,1372895,1469118
4/1/2024 20:00,858,843,1261946,1436551
4/2/2024 20:00,856,848,886333,775799
4/3/2024 20:00,842,832,931841,651569
4/4/2024 20:00,835,825,1026531,1006816
4/5/2024 20:00,829,818,1283962,820276
4/6/2024 20:00,848,837,1074067,1476465
4/7/2024 20:00,842,832,1062944,1092165
4/8/2024 20:00,850,842,767346,1387511
4/9/2024 20:00,853,840,948931,1300499
4/10/2024 20:00,848,842,954994,875094
4/11/2024 20:00,858,848,1068277,972604
4/12/2024 20:00,864,852,1159717,1368834
4/13/2024 20:00,867,856,1124487,1253190
4/14/2024 20:00,871,864,966024,1069264
4/15/2024 20:00,873,864,1050383,1222176
4/16/2024 20:00,881,869,1439618,1171804
4/17/2024 20:00,885,873,1397525,1124806
4/18/2024 20:00,910,898,1435360,1616458
4/19/2024 20:00,951,936,1325993,1516962
4/20/2024 20:00,992,983,1357648,1521005
4/21/2024 20:00,1038,1022,1062883,1104753
4/22/2024 20:00,1091,1077,993127,1323649
4/23/2024 20:00,1086,1075,1141519,1389306
4/24/2024 20:00,1012,996,895815,885419
4/25/2024 20:00,987,973,1224336,1065640
4/26/2024 20:00,1019,1004,767712,671712
4/27/2024 20:00,1028,1021,1054576,1506158
4/28/2024 20:00,1041,1029,1064376,1146696
4/29/2024 20:00,1043,1031,1050401,1390133
4/30/2024 20:00,1014,1008,912327,1022633
5/1/2024 20:00,1017,1004,756888,859891
5/2/2024 20:00,1002,993,900844,946830
5/3/2024 20:00,989,973,894704,1273465
5/4/2024 20:00,997,987,1187110,1416738
5/5/2024 20:00,943,926,1237673,899817
5/6/2024 20:00,952,937,1039969,1019746
5/7/2024 20:00,925,906,865198,1298294
5/8/2024 20:00,906,895,1229011,1090975
5/9/2024 20:00,901,892,1128951,1220676
5/10/2024 20:00,894,881,1165022,1053247
5/11/2024 20:00,883,866,1501207,1261210
5/12/2024 20:00,885,876,1273849,1080503
5/13/2024 20:00,885,876,938912,995057
5/14/2024 20:00,880,866,815029,989469
5/15/2024 20:00,886,874,1327301,1139618
5/16/2024 20:00,887,878,688523,1056225
5/17/2024 20:00,903,890,919639,1142637
5/18/2024 20:00,918,908,1193656,1306753
5/19/2024 20:00,928,916,968743,1236771
5/20/2024 20:00,925,913,1087764,1329124
5/21/2024 20:00,928,924,1029858,1045445
5/22/2024 20:00,949,934,886992,895040
5/23/2024 20:00,960,934,1004217,1338797
5/24/2024 20:00,949,938,952915,969360
5/25/2024 20:00,940,929,1229136,1157585
5/26/2024 20:00,967,947,1311897,1264564
5/27/2024 20:00,952,941,964381,1254985
5/28/2024 20:00,957,946,1015319,1016323
5/29/2024 20:00,955,946,863130,1255856
5/30/2024 20:00,979,965,1214486,1092108
5/31/2024 20:00,969,962,787176,1138282
6/1/2024 20:00,974,963,1134041,1648021
6/2/2024 20:00,970,958,1177687,1264665
6/3/2024 20:00,982,976,864328,1274312
6/4/2024 20:00,990,982,880361,1161691
6/5/2024 20:00,991,980,786312,1154403
6/6/2024 20:00,978,965,1113302,1210116
6/7/2024 20:00,987,980,1047085,1274134
6/8/2024 20:00,984,976,1459654,1483946
6/9/2024 20:00,983,972,1118954,1240469
6/10/2024 20:00,993,984,894643,1052580
6/11/2024 20:00,1007,1000,703792,1090535
6/12/2024 20:00,976,959,1351744,1358035
6/13/2024 20:00,946,936,1365412,895111
6/14/2024 20:00,942,923,1281156,1246734
6/15/2024 20:00,951,933,1170379,1580814
6/16/2024 20:00,984,969,963921,1136719
6/17/2024 20:00,970,958,1474020,1046679
6/18/2024 20:00,982,976,1297196,1008904
6/19/2024 20:00,1008,996,849575,990549
6/20/2024 20:00,1012,1000,990282,1171719
6/21/2024 20:00,1009,998,1045279,1161425
6/22/2024 20:00,1018,1006,1249782,1285637
6/23/2024 20:00,994,977,1047140,1049113
6/24/2024 20:00,989,977,983182,897481
6/25/2024 20:00,979,969,897451,1183263
6/26/2024 20:00,956,950,1039682,1122362
6/27/2024 20:00,946,930,1217617,1094663
6/28/2024 20:00,941,931,1128398,1262133
6/29/2024 20:00,962,953,1276690,1211357
6/30/2024 20:00,969,959,972422,998575
7/1/2024 20:00,968,954,1205977,1345798
7/2/2024 20:00,979,969,921124,955795
7/3/2024 20:00,977,968,1247789,1914749
7/4/2024 20:00,959,945,1026258,1510029
7/5/2024 20:00,1004,992,925420,1345582
7/6/2024 20:00,993,988,1171953,1523347
7/7/2024 20:00,990,981,1030681,1045208
7/8/2024 20:00,987,979,1004939,942677
7/9/2024 20:00,1007,990,881295,1120810
7/10/2024 20:00,969,959,1159194,1167148
7/11/2024 20:00,961,949,1226447,1185562
7/12/2024 20:00,955,947,1217998,1394865
7/13/2024 20:00,952,939,1338014,1173994
7/14/2024 20:00,930,914,1440723,1332508
7/15/2024 20:00,929,918,832470,1001368
7/16/2024 20:00,934,923,1024007,1089565
7/17/2024 20:00,934,925,899204,1000269
7/18/2024 20:00,947,935,1131139,923242
7/19/2024 20:00,955,947,1154016,1256455
7/20/2024 20:00,973,960,1171274,1306960
7/21/2024 20:00,979,967,766219,1104950
7/22/2024 20:00,1001,987,1276298,920971
7/23/2024 20:00,1009,993,897637,1162704
7/24/2024 20:00,992,982,1043666,1223684
7/25/2024 20:00,946,933,1193343,1126486
7/26/2024 20:00,948,936,1106016,1255514
7/27/2024 20:00,943,933,1080399,1230465
7/28/2024 20:00,941,929,979335,1193746
7/29/2024 20:00,933,925,1025345,1216130
7/30/2024 20:00,943,927,837618,1201674
7/31/2024 20:00,948,935,982206,1048355
8/1/2024 20:00,952,943,978461,1055595
8/2/2024 20:00,968,953,1235546,1036319
8/3/2024 20:00,976,965,1232926,1261997
8/4/2024 20:00,970,961,1306999,1340742
8/5/2024 20:00,965,956,1025638,1226781
8/6/2024 20:00,1001,985,898641,1208085
8/7/2024 20:00,989,976,1136751,1066562
8/8/2024 20:00,1035,1022,882734,1388542
8/9/2024 20:00,1100,1091,810660,1644223
8/10/2024 20:00,1098,1087,1253647,1336797
8/11/2024 20:00,1055,1035,1074609,933433
8/12/2024 20:00,1002,996,922994,804310
8/13/2024 20:00,971,958,1224399,742445
8/14/2024 20:00,950,942,1037360,904336
8/15/2024 20:00,939,924,1095311,1054188
8/16/2024 20:00,977,965,1366815,1107678
8/17/2024 20:00,974,964,1276924,1409223
8/18/2024 20:00,974,963,1145404,1203280
8/19/2024 20:00,1005,995,970677,946941
8/20/2024 20:00,1024,1010,997222,1025181
8/21/2024 20:00,998,987,981669,1048553
8/22/2024 20:00,995,985,923394,883246
8/23/2024 20:00,1011,999,902179,1330579
8/24/2024 20:00,1005,998,1018421,1302249
8/25/2024 20:00,1004,995,959204,1109478
8/26/2024 20:00,1005,996,942316,1078733
8/27/2024 20:00,987,974,934564,1107181
8/28/2024 20:00,965,952,889810,1330360
8/29/2024 20:00,969,958,953724,894365
8/30/2024 20:00,971,962,948749,1137037
8/31/2024 20:00,968,956,142128,223579
9/1/2024 20:00,982,973,840533,1248676
9/2/2024 20:00,991,984,749272,1146633
9/3/2024 20:00,1022,1011,895615,1166709
9/4/2024 20:00,1042,1024,736981,947066
9/5/2024 20:00,1075,1065,1108670,1306601
9/6/2024 20:00,1078,1069,984899,1283047
9/7/2024 20:00,1056,1042,1168920,1005942
